170817A	0.00980	0.0001	0.0000001	0.0001	U	U
170817A	0.00980	0.0001	0.0000001	0.0001	B	B
170817A	0.00980	0.0001	0.0000001	0.0001	V	V
170817A	0.00980	0.0001	0.0000001	0.0001	R	R
170817A	0.00980	0.0001	0.0000001	0.0001	Rc	Rc
170817A	0.00980	0.0001	0.0000001	0.0001	I	I
170817A	0.00980	0.0001	0.0000001	0.0001	Zg	Zg
170817A	0.00980	0.0001	0.0000001	0.0001	u*	u*
170817A	0.00980	0.0001	0.0000001	0.0001	g*	g*
170817A	0.00980	0.0001	0.0000001	0.0001	r*	r*
170817A	0.00980	0.0001	0.0000001	0.0001	i*	i*
170817A	0.00980	0.0001	0.0000001	0.0001	z*	z*
170817A	0.00980	0.0001	0.0000001	0.0001	Y	Y
170817A	0.00980	0.0001	0.0000001	0.0001	J	J
170817A	0.00980	0.0001	0.0000001	0.0001	H	H
170817A	0.00980	0.0001	0.0000001	0.0001	K	K
170817A	0.00980	0.0001	0.0000001	0.0001	Ks	Ks
170817A	0.00980	0.0001	0.0000001	0.0001	uvu	uvu
170817A	0.00980	0.0001	0.0000001	0.0001	uvb	uvb
170817A	0.00980	0.0001	0.0000001	0.0001	uvv	uvv
170817A	0.00980	0.0001	0.0000001	0.0001	uvw2	uvw2
170817A	0.00980	0.0001	0.0000001	0.0001	uvm2	uvm2
170817A	0.00980	0.0001	0.0000001	0.0001	uvw1	uvw1
170817A	0.00980	0.0001	0.0000001	0.0001	uvwhite	uvwhite
170817A	0.00980	0.0001	0.0000001	0.0001	F606W	F606W
170817A	0.00980	0.0001	0.0000001	0.0001	F814W	F814W
170817A	0.00980	0.0001	0.0000001	0.0001	F110W	F110W
170817A	0.00980	0.0001	0.0000001	0.0001	F125W	F125W
170817A	0.00980	0.0001	0.0000001	0.0001	F160W	F160W
